drive_id,drive_start,drive_end
2016_01_TB_ATL_3,Kickoff,Field Goal
2016_01_TB_ATL_4,Kickoff,Punt
2016_01_TB_ATL_5,Punt,Punt
2016_01_TB_ATL_6,Punt,Turnover
2016_01_TB_ATL_7,Interception,Touchdown
2016_01_TB_ATL_8,Kickoff,Touchdown
2016_01_TB_ATL_9,Kickoff,Punt
2016_01_TB_ATL_10,Punt,Punt
2016_01_TB_ATL_11,Punt,Field Goal
2016_01_TB_ATL_12,Kickoff,Touchdown
2016_01_TB_ATL_14,Kickoff,Touchdown
2016_01_TB_ATL_15,Kickoff,Punt
2016_01_TB_ATL_16,Punt,Touchdown
2016_01_TB_ATL_17,Kickoff,Touchdown
2016_01_TB_ATL_18,Kickoff,Punt
2016_01_TB_ATL_19,Punt,Punt
2016_01_TB_ATL_20,Punt,Punt
2016_01_TB_ATL_21,Punt,Field Goal
2016_01_TB_ATL_22,Kickoff,Punt
2016_01_TB_ATL_23,Punt,Turnover
2016_02_ATL_OAK_1,Kickoff,Punt
2016_02_ATL_OAK_2,Punt,Punt
2016_02_ATL_OAK_3,Punt,Punt
2016_02_ATL_OAK_4,Punt,Punt
2016_02_ATL_OAK_5,Punt,Field Goal
2016_02_ATL_OAK_6,Kickoff,Touchdown
2016_02_ATL_OAK_7,Kickoff,Touchdown
2016_02_ATL_OAK_8,Kickoff,Punt
2016_02_ATL_OAK_9,Punt,Field Goal
2016_02_ATL_OAK_10,Kickoff,Field Goal
2016_02_ATL_OAK_11,Kickoff,Touchdown
2016_02_ATL_OAK_12,Kickoff,Turnover
2016_02_ATL_OAK_13,Interception,Punt
2016_02_ATL_OAK_14,Punt,Touchdown
2016_02_ATL_OAK_15,Kickoff,Touchdown
2016_02_ATL_OAK_16,Kickoff,Touchdown
2016_02_ATL_OAK_17,Kickoff,Turnover
2016_02_ATL_OAK_18,Fumble,Touchdown
2016_02_ATL_OAK_19,Kickoff,Touchdown
2016_02_ATL_OAK_20,Kickoff,Punt
2016_02_BAL_CLE_1,Kickoff,Touchdown
2016_02_BAL_CLE_2,Kickoff,Punt
